Name,Link
tcs (tata consultancy services),['https://www.tcs.com/careers']
infosys,"[' https://career.infosys.com/joblist', 'https://www.infosys.com/careers']"
wipro,"[' https://careers.wipro.com/careers-home/', 'https://careers.wipro.com/']"
hcl technologies,['https://www.hcltech.com/careers']
tech mahindra,"[' https://careers.techmahindra.com/', ' \\<https://careers.techmahindra.com/\\>', 'https://careers.techmahindra.com/']"
cognizant,"[' https://careers.cognizant.com/global/en', 'https://careers.cognizant.com/']"
l&t infotech,['https://careers.lntinfotech.com/']
mindtree,"[' https://www.mindtree.com/careers', ' \\<https://www.mindtree.com/careers\\>', 'https://www.mindtree.com/careers']"
hexaware,"[' https://jobs.hexaware.com/', 'https://jobs.hexaware.com/']"
oracle financial services,['https://www.oracle.com/corporate/careers/index.html']
accenture india,['https://www.accenture.com/in']
ibm india,['https://www.ibm.com/in']
dell emc india,['https://jobs.dell.com/']
hp india,['https://jobs.hp.com/']
cisco systems india,['https://jobs.cisco.com/']
microsoft india,['https://careers.microsoft.com/us/en']
sap india,['https://www.sap.com/india/careers.html']
genpact,"[' https://www.genpact.com/careers', ' \\<http://www.genpact.com/home/careers\\>', 'https://www.genpact.com/careers']"
conduent,['https://careers.conduent.com/']
aegis,['https://www.aegisglobal.com/careers']
zensar technologies,['https://www.zensar.com/careers']
niit technologies,['https://careers.niit']
cyient,['https://careers.cyient.com/']
sonata software,['https://www.sonata']
larsen & toubro infotech,[]
mphasis,['https://careers.mphasis.com/']
birlasoft,"[' https://www.birlasoft.com/careers/current-openings', ' \\<https://www.birlasoft.com/careers/current-openings\\>', 'https://www.birlasoft.com/careers']"
igate,['https://careers.igate.com/']
patni computer systems,['https://careers.patni.com/']
syntel,"[' \\<http://www.syntelinc.com/careers\\>', 'https://careers.syntelinc.com/']"
wns global services,['https://careers.wns.com/']
exl service,['https://careers.exlservice.com/']
hinduja global solutions,['https://careers.hindujaglobalsolutions.com/']
firstsource solutions,['https://careers.firstsource.com/']
intelenet global services,['https://careers.intelenetglobal.com/']
serco global services,['https://careers.serco.com/']
sutherland global services,['https://careers.sutherlandglobal.com/']
aditya birla minacs,['https://careers.adityabirlaminacs.com/']
amdocs india,['https://careers.amdocs.com/']
wipro bpo,['https://careers.wipro.com/bpo/']
hcl bpo,['https://careers.hcltech.com/bpo/']
conneqt business solutions,['https://careers.conneqt.com/']
css corp,['https://careers.csscorp.com/']
3i infotech,['https://careers.3i']
polaris consulting & services,['https://careers.polarisconsulting.com/']
virtusa,"[' https://www.virtusa.com/careers/job-search', 'https://careers.virtusa.com/']"
kpit technologies,['https://careers.kpit.com/']
persistent systems,['https://careers.persistent.com/']
eclerx,['https://careers.eclerx.com/']
datamatics,['https://careers.datamatics.com/']
mastek,['https://careers.mastek.com/']
rolta india,['https://careers.rolta.com/']
allied digital services,['https://careers.allieddigital.net/']
zenith infotech,['https://careers.zenithinfotech.com/']
ntt data india,['https://careers.nttdata.com/']
fujitsu consulting india,['https://careers.fujitsu.com/']
hitachi consulting india,['https://careers.hitachiconsulting.com/']
nec india,['https://careers.nec.com/']
panasonic india,['https://careers.panasonic.com/']
ricoh india,['https://careers.ricoh.com/']
toshiba india,['https://careers.toshiba.com/']
unisys india,['https://careers.unisys.com/']
xerox india,['https://careers.xerox.com/']
zoho corporation,['https://careers.zoho.com/']
freshworks,['https://careers.freshworks.com/']
inmobi,['https://careers.inmobi.com/']
paytm,['https://careers.paytm.com/']
ola,['https://careers.olacabs.com/']
flipkart,"[' https://www.flipkartcareers.com/#!/joblist', ' https://www.flipkartcareers.com/#!/joblist', 'https://careers.flipkart.com/']"
amazon development centre india,['https://www.amazon.jobs/en/teams/in']
google india,['https://careers.google.com/']
facebook india,['https://www.facebook.com/careers/']
microsoft india development centre,['https://careers.microsoft.com/us/en']
ibm india software labs,['https://www.ibm.com/in']
oracle india pvt ltd,['https://www.oracle.com/corporate/careers/index.html']
sap labs india,['https://www.sap.com/india/careers.html']
accenture labs india,['https://www.accenture.com/in']
l&t technology services,[]
niit,[]
capgemini,[' https://www.capgemini.com/careers/join-us/#size=15']
lti,[' https://careers.lntinfotech.com/search/']
tcs,"[' https://www.tcs.com/careers?country=IN&lang=EN', ' \\<http://www.tcs.com/careers?country=']"
dxc technology,"[' https://careers.dxc.com/global/en/home', ' https://careers.dxc.com/global/en', ' \\<https://careers.dxc.com/global/en\\>']"
hcl,[' https://www.hcltech.com/careers/Careers-in-india']
hashedin,[' https://hashedin.com/careers/#opportunities']
revature,[' https://revature.com/in/jobs/apply/']
ibm,"[' https://www.ibm.com/in-en/employment/', ' https://www.ibm.com/in-en/careers/search', ' \\<https://www.ibm.com/in-en/careers/search\\>']"
nagarro,[' https://www.nagarro.com/en/careers']
zoho,"[' https://www.zoho.com/careers/', ' https://careers.zohocorp.com/jobs/Careers', ' \\<https://careers.zohocorp.com/jobs/Careers\\>']"
cgi,[' https://cgi.njoyn.com/CGI/xweb/xweb.asp?page=JobListing&CLID=21001&lang=1']
finastra,[' https://careers.finastra.com/jobs']
fis,[' https://careers.fisglobal.com/us/en/c/fis-university-programinterns-jobs']
fiserv,[' https://fiserv.wd5.myworkdayjobs.com/en-US/EXT']
iqvia,[' https://jobs.iqvia.com/search-jobs']
jio,[' https://careers.jio.com/frmJobCategories.aspx?n=1']
maq software,[' https://maqsoftware.com/careers#']
optum,[' https://careers.unitedhealthgroup.com/job-search-results/']
publicis sapient,"[' https://careers.publicissapient.com/job-search?&country=India', ' https://careers.publicissapient.com/', ' \\<https://careers.publicissapient.com/\\>']"
geekyants,[' https://geekyants.com/join-geekyants/']
